id,event_id,minute,second,team_id,team_name,player_id,x,y,end_x,end_y,is_touch,is_shot,is_goal,type,outcome,period,name,shirt_no,position
2744758761,476,44,30,36,Leverkusen,404832,39.8,75.8,35.3,39.7,True,False,False,Pass,Successful,FirstHalf,Piero Hincapié,3,DC
2744758801,477,44,33,36,Leverkusen,369446,35.2,39.7,28.0,69.8,True,False,False,Pass,Successful,FirstHalf,Edmond Tapsoba,12,DC
2744758837,478,44,36,36,Leverkusen,404832,28.1,69.0,57.4,95.5,True,False,False,Pass,Successful,FirstHalf,Piero Hincapié,3,DC
2744758839,479,44,39,36,Leverkusen,394786,58.5,95.7,,,True,False,False,BallTouch,Unsuccessful,FirstHalf,Florian Wirtz,10,FW
2744758981,376,44,50,26,Liverpool,318871,33.5,0.0,20.8,23.6,True,False,False,Pass,Successful,FirstHalf,Trent Alexander-Arnold,66,DR
2744759001,377,44,54,26,Liverpool,345957,24.8,34.3,29.2,61.1,True,False,False,Pass,Successful,FirstHalf,Ibrahima Konaté,5,DC
2744759015,378,44,58,26,Liverpool,95408,30.0,63.0,36.0,43.0,True,False,False,Pass,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759041,379,45,1,26,Liverpool,363884,38.5,39.5,46.3,38.5,True,False,False,Pass,Successful,FirstHalf,Ryan Gravenberch,38,MC
2744759065,380,45,2,26,Liverpool,355354,46.1,43.9,39.0,64.2,True,False,False,Pass,Successful,FirstHalf,Curtis Jones,17,MC
2744759095,381,45,5,26,Liverpool,95408,39.7,66.4,43.4,91.2,True,False,False,Pass,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759127,382,45,9,26,Liverpool,301455,45.0,84.7,37.2,63.7,True,False,False,Pass,Successful,FirstHalf,Kostas Tsimikas,21,DL
2744759157,383,45,12,26,Liverpool,95408,36.3,60.0,41.9,82.9,True,False,False,Pass,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759211,384,45,16,26,Liverpool,301455,43.7,75.0,33.6,57.9,True,False,False,Pass,Successful,FirstHalf,Kostas Tsimikas,21,DL
2744759239,385,45,19,26,Liverpool,95408,36.7,47.2,50.9,19.1,True,False,False,Pass,Successful,FirstHalf,Virgil van Dijk,4,DC
2744759329,386,45,22,26,Liverpool,318871,57.5,13.1,69.8,4.3,True,False,False,Pass,Successful,FirstHalf,Trent Alexander-Arnold,66,DR
2744759335,481,45,29,36,Leverkusen,404832,9.0,84.8,,,False,False,False,BallRecovery,Successful,FirstHalf,Piero Hincapié,3,DC
2744759339,387,45,27,26,Liverpool,108226,84.4,20.6,,,True,False,False,TakeOn,Unsuccessful,FirstHalf,Mohamed Salah,11,FWR
2744759355,482,45,29,36,Leverkusen,404832,9.0,84.8,3.5,75.4,True,False,False,Pass,Successful,FirstHalf,Piero Hincapié,3,DC
